,STAT_CAUSE_DESCR
4623,Campfire
4628,Campfire
4632,Miscellaneous
4640,Debris Burning
6489,Debris Burning
6518,Debris Burning
6519,Campfire
6520,Campfire
6521,Debris Burning
6522,Campfire
6523,Campfire
6524,Debris Burning
6525,Smoking
6533,Debris Burning
6535,Smoking
6539,Miscellaneous
6540,Debris Burning
6558,Debris Burning
6560,Campfire
6562,Children
6563,Children
6566,Campfire
6568,Children
6569,Campfire
6570,Campfire
6572,Debris Burning
6591,Miscellaneous
6592,Smoking
6600,Smoking
6612,Campfire
6613,Campfire
6656,Debris Burning
6716,Children
6718,Children
6720,Campfire
6721,Campfire
6722,Campfire
6724,Debris Burning
7252,Miscellaneous
12163,Debris Burning
12232,Campfire
12666,Debris Burning
12681,Campfire
20943,Debris Burning
20964,Miscellaneous
20965,Campfire
20966,Campfire
20967,Campfire
21632,Arson
21659,Campfire
21661,Campfire
21672,Campfire
21704,Campfire
26358,Debris Burning
26385,Miscellaneous
26386,Lightning
26388,Debris Burning
26389,Campfire
26390,Debris Burning
26391,Debris Burning
31655,Children
31657,Campfire
31663,Campfire
31666,Arson
31672,Arson
35160,Miscellaneous
37621,Debris Burning
37664,Campfire
38258,Miscellaneous
38635,Equipment Use
38637,Equipment Use
38639,Campfire
38641,Lightning
38948,Miscellaneous
38994,Campfire
38995,Campfire
39007,Campfire
39009,Debris Burning
39011,Campfire
39070,Campfire
39074,Campfire
39077,Miscellaneous
39326,Campfire
39361,Campfire
39365,Campfire
39367,Campfire
39374,Debris Burning
39378,Miscellaneous
39399,Debris Burning
39404,Miscellaneous
39407,Debris Burning
39684,Debris Burning
40273,Debris Burning
40865,Campfire
40867,Miscellaneous
41201,Lightning
53188,Miscellaneous
53189,Debris Burning
53190,Debris Burning
53191,Campfire
53192,Children
53193,Miscellaneous
53194,Debris Burning
53195,Campfire
53196,Campfire
53197,Debris Burning
53198,Campfire
53199,Smoking
53200,Arson
53201,Miscellaneous
53202,Equipment Use
53203,Smoking
53204,Campfire
53205,Campfire
53206,Campfire
53207,Debris Burning
53208,Miscellaneous
53252,Campfire
75160,Campfire
75161,Campfire
75162,Campfire
75163,Campfire
75164,Smoking
75165,Campfire
75166,Arson
75167,Campfire
75168,Campfire
75169,Campfire
75170,Campfire
75171,Campfire
75172,Campfire
75173,Campfire
75174,Campfire
75175,Campfire
75176,Miscellaneous
75177,Campfire
75178,Debris Burning
75179,Miscellaneous
75180,Miscellaneous
75181,Debris Burning
75182,Arson
75183,Campfire
75184,Campfire
75185,Smoking
75186,Campfire
75187,Campfire
75188,Campfire
75189,Campfire
75190,Miscellaneous
75191,Campfire
75192,Debris Burning
75193,Campfire
75194,Campfire
75195,Campfire
75389,Campfire
75390,Lightning
75391,Lightning
75392,Lightning
75393,Campfire
75394,Campfire
75395,Lightning
75396,Campfire
75397,Lightning
75398,Campfire
75399,Campfire
75400,Campfire
75401,Debris Burning
75402,Miscellaneous
75403,Campfire
75404,Children
75405,Campfire
75406,Campfire
75407,Campfire
75408,Campfire
75409,Campfire
75410,Miscellaneous
75411,Campfire
75412,Campfire
75413,Campfire
75414,Campfire
75415,Children
75416,Campfire
75417,Campfire
75418,Campfire
75419,Campfire
75420,Campfire
75421,Campfire
75422,Smoking
75423,Campfire
75424,Campfire
75425,Campfire
75426,Miscellaneous
75427,Debris Burning
75428,Campfire
75429,Miscellaneous
75430,Debris Burning
75431,Smoking
75432,Campfire
75433,Debris Burning
75434,Children
75435,Campfire
75436,Campfire
75437,Campfire
75438,Campfire
75439,Campfire
75440,Campfire
75441,Campfire
75442,Campfire
75443,Campfire
75444,Miscellaneous
75445,Miscellaneous
75446,Smoking
75447,Miscellaneous
75448,Campfire
75449,Campfire
75450,Campfire
75451,Campfire
75452,Equipment Use
75453,Equipment Use
75454,Campfire
75455,Campfire
75456,Miscellaneous
75457,Debris Burning
84611,Campfire
84612,Debris Burning
84613,Lightning
84614,Lightning
84615,Lightning
84616,Smoking
84617,Campfire
84618,Smoking
84619,Campfire
84620,Campfire
84621,Campfire
84622,Campfire
84623,Campfire
84624,Miscellaneous
84625,Debris Burning
84626,Campfire
84627,Campfire
84628,Debris Burning
84629,Smoking
84630,Debris Burning
84631,Debris Burning
84632,Campfire
84633,Miscellaneous
84634,Debris Burning
84635,Campfire
84636,Campfire
90283,Campfire
90284,Campfire
90285,Campfire
90286,Campfire
90287,Campfire
90288,Children
90289,Campfire
90290,Children
90291,Debris Burning
90292,Campfire
90293,Campfire
90294,Campfire
91429,Campfire
91430,Campfire
91431,Campfire
91432,Campfire
91436,Equipment Use
91717,Campfire
91718,Debris Burning
91733,Children
91734,Miscellaneous
96044,Arson
96045,Campfire
96046,Campfire
96047,Miscellaneous
96048,Campfire
96049,Campfire
96050,Campfire
96051,Campfire
96052,Equipment Use
96053,Campfire
96054,Debris Burning
96055,Campfire
96056,Campfire
96057,Campfire
96058,Campfire
96059,Campfire
96060,Campfire
96061,Campfire
96062,Smoking
103821,Miscellaneous
103822,Miscellaneous
103823,Campfire
103826,Campfire
103827,Debris Burning
103828,Miscellaneous
103829,Miscellaneous
103830,Miscellaneous
103831,Campfire
103832,Debris Burning
103833,Debris Burning
103834,Debris Burning
103835,Debris Burning
103836,Debris Burning
103837,Debris Burning
103838,Miscellaneous
103839,Campfire
103840,Campfire
103841,Lightning
103842,Campfire
103843,Miscellaneous
103844,Miscellaneous
103923,Campfire
104049,Debris Burning
104050,Debris Burning
104051,Miscellaneous
104052,Debris Burning
108299,Miscellaneous
108300,Campfire
108301,Children
108302,Campfire
108303,Arson
108304,Campfire
108305,Smoking
108306,Campfire
108307,Campfire
108308,Campfire
108309,Campfire
108310,Miscellaneous
108313,Miscellaneous
108314,Campfire
108315,Campfire
108316,Miscellaneous
108317,Campfire
111290,Campfire
111479,Miscellaneous
111480,Campfire
111481,Campfire
111482,Campfire
126577,Arson
126578,Campfire
126579,Miscellaneous
126580,Miscellaneous
126581,Equipment Use
126582,Smoking
126606,Debris Burning
126607,Campfire
126608,Lightning
126609,Children
126610,Campfire
126611,Miscellaneous
126612,Miscellaneous
126613,Children
126614,Debris Burning
129445,Arson
129881,Campfire
129882,Equipment Use
129978,Equipment Use
129979,Campfire
129980,Campfire
129981,Debris Burning
129982,Campfire
129983,Lightning
129984,Campfire
135733,Children
135842,Arson
135843,Equipment Use
136039,Campfire
136040,Campfire
136041,Campfire
137114,Campfire
141244,Campfire
141245,Campfire
141246,Campfire
141247,Campfire
141576,Campfire
141577,Campfire
145929,Debris Burning
146987,Campfire
146988,Smoking
146989,Miscellaneous
146990,Smoking
154437,Campfire
154438,Campfire
154439,Smoking
154440,Campfire
154441,Smoking
154442,Campfire
154443,Debris Burning
154444,Campfire
154445,Campfire
154446,Campfire
154447,Smoking
154448,Campfire
154449,Campfire
154450,Campfire
154451,Campfire
154452,Campfire
154453,Campfire
154454,Lightning
154455,Campfire
154456,Campfire
154457,Debris Burning
154458,Debris Burning
155860,Arson
155861,Campfire
155862,Arson
155863,Lightning
155864,Miscellaneous
155865,Campfire
155866,Campfire
155867,Campfire
155868,Campfire
155869,Campfire
155870,Campfire
155871,Campfire
155872,Campfire
155873,Campfire
155874,Miscellaneous
155875,Campfire
155876,Campfire
155877,Campfire
155878,Debris Burning
155879,Campfire
155880,Miscellaneous
159490,Campfire
159491,Campfire
159492,Debris Burning
159493,Campfire
159494,Children
159495,Campfire
159496,Campfire
159497,Campfire
159498,Lightning
159499,Debris Burning
159502,Campfire
164045,Campfire
164046,Children
164047,Campfire
164048,Campfire
164049,Equipment Use
168397,Miscellaneous
168398,Smoking
168399,Debris Burning
168400,Equipment Use
168401,Campfire
168402,Miscellaneous
168403,Miscellaneous
168404,Debris Burning
168405,Miscellaneous
168406,Campfire
168407,Children
168408,Children
168409,Lightning
168410,Children
168411,Campfire
168412,Campfire
168413,Campfire
168414,Campfire
168415,Campfire
168416,Campfire
168417,Campfire
168418,Campfire
168419,Lightning
168420,Campfire
168421,Campfire
168422,Campfire
168423,Lightning
168424,Lightning
168425,Lightning
168426,Lightning
168427,Campfire
168428,Campfire
168429,Campfire
168430,Lightning
168431,Lightning
168432,Campfire
168433,Campfire
168434,Campfire
168435,Campfire
168436,Campfire
168437,Campfire
168438,Campfire
168439,Debris Burning
168440,Miscellaneous
168441,Campfire
168442,Campfire
168443,Campfire
168444,Campfire
168445,Campfire
168446,Smoking
168447,Debris Burning
168448,Debris Burning
168449,Campfire
168450,Smoking
168451,Campfire
168452,Campfire
168453,Miscellaneous
168454,Campfire
168455,Campfire
168456,Debris Burning
168457,Campfire
168458,Campfire
168459,Lightning
168460,Campfire
168461,Arson
168768,Campfire
172953,Lightning
172954,Lightning
172955,Debris Burning
172956,Miscellaneous
172957,Campfire
172958,Campfire
172959,Campfire
172960,Lightning
172961,Lightning
172962,Campfire
172963,Lightning
173288,Structure
173289,Structure
173290,Miscellaneous
173291,Lightning
210328,Structure
210329,Campfire
210330,Arson
210331,Campfire
210332,Debris Burning
210333,Smoking
210334,Arson
210335,Arson
210336,Children
210337,Campfire
210338,Campfire
210339,Campfire
210340,Debris Burning
210341,Miscellaneous
210342,Smoking
210343,Arson
210344,Campfire
210345,Campfire
210346,Arson
210347,Lightning
210348,Arson
210349,Children
210350,Lightning
210351,Equipment Use
210352,Lightning
210353,Lightning
210354,Debris Burning
210355,Debris Burning
210356,Debris Burning
210357,Campfire
210358,Structure
210359,Miscellaneous
210360,Arson
210361,Arson
210362,Arson
210363,Lightning
210364,Lightning
210365,Lightning
210366,Lightning
210367,Lightning
210368,Lightning
210369,Lightning
210370,Lightning
210371,Lightning
210372,Campfire
210373,Lightning
210374,Lightning
210375,Fireworks
210376,Lightning
210377,Lightning
210378,Lightning
210379,Lightning
210380,Equipment Use
210381,Lightning
210382,Lightning
210383,Lightning
210384,Lightning
210385,Lightning
210386,Lightning
210387,Lightning
210388,Lightning
210389,Lightning
210390,Lightning
210391,Lightning
