,OBJECTID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,MONTH
26386,26387,RAVEN,2007,2007-08-10,222,2200.0,1,Lightning,2454324.5,224.0,1700.0,0.1,A,56.77777778,-132.93583333,5,USFS,AK,280.0,280.0,Wrangell-Petersburg,8
38641,38642,WE MISS BERNEY,2009,2009-07-07,188,900.0,1,Lightning,2455019.5,188.0,1030.0,0.1,A,56.24333333,-132.29916667,5,USFS,AK,280.0,280.0,Wrangell-Petersburg,7
41201,41202,SEATTLE CREEK,2009,2009-09-19,262,1300.0,1,Lightning,2455158.5,327.0,1200.0,10.0,C,60.87388889,-149.12055556,5,USFS,AK,122.0,122.0,Kenai Peninsula,9
75390,75391,,1993,1993-06-16,167,600.0,1,Lightning,2449154.5,167.0,1600.0,0.1,A,56.16666667,-132.33333333,5,USFS,AK,,,,6
75391,75392,,1993,1993-07-12,193,2001.0,1,Lightning,2449181.5,194.0,701.0,0.1,A,56.33333333,-132.16666667,5,USFS,AK,,,,7
75392,75393,,1993,1993-07-14,195,1500.0,1,Lightning,2449188.5,201.0,1600.0,1.0,B,56.00833333,-132.00166667,5,USFS,AK,,,,7
75395,75396,,1993,1993-07-10,191,1700.0,1,Lightning,2449179.5,192.0,1830.0,0.1,A,57.83333333,-135.53333333,5,USFS,AK,,,,7
75397,75398,,1993,1993-08-09,221,700.0,1,Lightning,2449208.5,221.0,1800.0,1.0,B,57.25,-135.0,5,USFS,AK,,,,8
84613,84614,,1995,1995-06-10,161,2030.0,1,Lightning,2449879.5,162.0,1000.0,0.1,A,59.26666667,-135.83333333,5,USFS,AK,,,,6
84614,84615,,1995,1995-06-10,161,2040.0,1,Lightning,2449879.5,162.0,1000.0,0.1,A,59.275,-135.13333333,5,USFS,AK,,,,6
84615,84616,,1995,1995-06-10,161,2010.0,1,Lightning,2449879.5,162.0,1000.0,0.1,A,59.25333333,-135.18666667,5,USFS,AK,,,,6
103841,103842,NELSON CREEK,1997,1997-06-24,175,1700.0,1,Lightning,2450623.5,175.0,1731.0,0.5,B,60.8,-149.41666667,5,USFS,AK,,,,6
126608,126609,SHERIDAN,1999,1999-05-21,141,1100.0,1,Lightning,2451319.5,141.0,1400.0,4.0,B,60.47583333,-145.30916667,5,USFS,AK,,,,5
129983,129984,SMOKEY JOE,2000,2000-06-28,180,1530.0,1,Lightning,2451723.5,180.0,1730.0,0.1,A,56.35694444,-132.28194444,5,USFS,AK,,,,6
154454,154455,JARVIS,2002,2002-08-03,215,1400.0,1,Lightning,2452492.5,218.0,1700.0,0.5,B,55.5,-132.55,13,STATE OR PRIVATE,AK,,,,8
155863,155864,BAY CREEK,2003,2003-06-13,164,30.0,1,Lightning,2452803.5,164.0,1900.0,0.1,A,60.92916667,-149.56472222,5,USFS,AK,,,,6
159498,159499,TOMBSTONE BAY,2003,2003-08-10,222,1200.0,1,Lightning,2452861.5,222.0,1800.0,1.0,B,55.4175,-130.05083333,5,USFS,AK,,,,8
168409,168410,SECOND DOG,2004,2004-06-25,177,2000.0,1,Lightning,2453182.5,178.0,200.0,0.1,A,55.98333333,-132.81861111,5,USFS,AK,,,,6
168419,168420,ELLA RIDGE,2004,2004-07-16,198,1200.0,1,Lightning,2453202.5,198.0,1300.0,0.1,A,55.4725,-131.01472222,5,USFS,AK,,,,7
168423,168424,PATS,2004,2004-08-15,228,1230.0,1,Lightning,2453232.5,228.0,1400.0,0.1,A,56.43166667,-132.33972222,13,STATE OR PRIVATE,AK,,,,8
168424,168425,SPUR ROAD,2004,2004-08-15,228,1730.0,1,Lightning,2453233.5,229.0,1030.0,0.1,A,56.44277778,-132.26972222,5,USFS,AK,,,,8
168425,168426,RAINBOW FALLS,2004,2004-08-15,228,1800.0,1,Lightning,2453234.5,230.0,1530.0,6.0,B,56.40666667,-132.27861111,5,USFS,AK,,,,8
168426,168427,PORT HOUGHTON,2004,2004-08-18,231,1000.0,1,Lightning,2453236.5,232.0,1100.0,0.5,B,57.27611111,-133.43916667,5,USFS,AK,280.0,280.0,Wrangell-Petersburg,8
168430,168431,KLU BAY,2004,2004-08-15,228,900.0,1,Lightning,2453233.5,229.0,1600.0,0.1,A,55.83333333,-131.44638889,5,USFS,AK,,,,8
168431,168432,VESTA BAY,2004,2004-08-17,230,800.0,1,Lightning,2453234.5,230.0,2100.0,0.1,A,54.91666667,-132.91666667,13,STATE OR PRIVATE,AK,,,,8
168459,168460,WOLF CREEK,2004,2004-09-09,253,1530.0,1,Lightning,2453282.5,278.0,1545.0,0.5,B,60.80833333,-149.69583333,5,USFS,AK,,,,9
172953,172954,,1993,1993-06-17,168,,1,Lightning,2449155.5,168.0,,0.3,B,66.583,-145.2526,2,BIA,AK,,,,6
172954,172955,,1993,1993-07-12,193,1208.0,1,Lightning,2449182.5,195.0,1500.0,13.0,C,61.266,-155.569,2,BIA,AK,,,,7
172960,172961,B290,1995,1995-06-12,163,1629.0,1,Lightning,2449886.5,169.0,1900.0,90.0,C,66.6997,-143.9526,2,BIA,AK,,,,6
172961,172962,B310,1995,1995-06-14,165,1928.0,1,Lightning,2449886.5,169.0,1200.0,20.0,C,66.3497,-143.3026,4,FWS,AK,,,,6
172963,172964,B391,1995,1995-07-29,210,1640.0,1,Lightning,2449943.5,226.0,1400.0,2850.0,F,66.8327,-160.7361,9,TRIBAL,AK,,,,7
173291,173292,,1993,1993-06-01,152,,1,Lightning,2449139.5,152.0,,0.1,A,62.0326,-163.4857,2,BIA,AK,,,,6
210347,210348,FAI SE 24,1992,1992-05-28,149,1824.0,1,Lightning,2448770.5,149.0,2300.0,2.0,B,64.5829,-147.2191,6,OTHER FEDERAL,AK,,,,5
210350,210351,204158,1992,1992-05-30,151,1932.0,1,Lightning,2448775.5,154.0,1500.0,2.0,B,62.816,-155.0023,1,BLM,AK,,,,5
210352,210353,BTT SW 49,1992,1992-05-31,152,2030.0,1,Lightning,2448774.5,153.0,1000.0,10.0,C,66.3162,-152.9193,4,FWS,AK,,,,5
210353,210354,231174,1992,1992-06-01,153,749.0,1,Lightning,2448775.5,154.0,1830.0,60.0,C,65.6662,-148.3192,7,STATE,AK,,,,6
210363,210364,213236,1992,1992-06-12,164,1951.0,1,Lightning,2448788.5,167.0,1800.0,25.0,C,63.5163,-143.4523,1,BLM,AK,,,,6
210364,210365,231237,1992,1992-06-13,165,1417.0,1,Lightning,2448786.5,165.0,2300.0,0.5,B,65.6496,-144.7358,7,STATE,AK,,,,6
210365,210366,231239,1992,1992-06-13,165,1528.0,1,Lightning,2448795.5,174.0,2200.0,930.0,E,64.4162,-150.5357,7,STATE,AK,,,,6
210366,210367,TAL NE 72,1992,1992-06-13,165,1929.0,1,Lightning,2448787.5,166.0,100.0,0.5,B,66.0162,-150.0693,1,BLM,AK,,,,6
210367,210368,TAL NE 60,1992,1992-06-14,166,1450.0,1,Lightning,2448788.5,167.0,1000.0,0.3,B,65.8162,-150.3026,1,BLM,AK,,,,6
210368,210369,TAL NE 35,1992,1992-06-14,166,1520.0,1,Lightning,2448787.5,166.0,2300.0,4.0,B,65.3662,-151.6192,6,OTHER FEDERAL,AK,,,,6
210369,210370,CEM NE 33,1992,1992-06-14,166,1806.0,1,Lightning,2448788.5,167.0,2300.0,0.3,B,65.9497,-143.7358,6,OTHER FEDERAL,AK,,,,6
210370,210371,CEM W 68,1992,1992-06-14,166,2103.0,1,Lightning,2448818.5,197.0,1715.0,100.0,D,65.7329,-147.4859,1,BLM,AK,,,,6
210371,210372,TAL N 45,1992,1992-06-14,166,2122.0,1,Lightning,2448790.5,169.0,1645.0,550.0,E,65.9495,-151.8359,1,BLM,AK,,,,6
210373,210374,232266,1992,1992-06-19,171,1555.0,1,Lightning,2448824.5,203.0,1618.0,3390.0,F,66.5161,-155.736,1,BLM,AK,,,,6
210374,210375,CEM E 60,1992,1992-06-20,172,1606.0,1,Lightning,2448810.5,189.0,1630.0,80.0,C,65.433,-142.3524,3,NPS,AK,,,,6
210376,210377,231279,1992,1992-06-21,173,1615.0,1,Lightning,2448794.5,173.0,2359.0,0.3,B,67.0162,-151.386,6,OTHER FEDERAL,AK,,,,6
210377,210378,UMIATSE 32,1992,1992-06-23,175,1530.0,1,Lightning,2448811.5,190.0,1317.0,10.0,C,68.9163,-151.6362,6,OTHER FEDERAL,AK,,,,6
210378,210379,BTT 3 48,1992,1992-06-23,175,1544.0,1,Lightning,2448862.5,241.0,1545.0,25600.0,G,66.1828,-152.386,4,FWS,AK,,,,6
210379,210380,231286,1992,1992-06-23,175,2000.0,1,Lightning,2448801.5,180.0,1400.0,2.0,B,67.3995,-151.4694,7,STATE,AK,,,,6
210381,210382,CEMWNW73,1992,1992-06-29,181,1627.0,1,Lightning,2448882.5,261.0,903.0,3130.0,F,65.9163,-147.6692,4,FWS,AK,,,,6
210382,210383,231304,1992,1992-06-29,181,2018.0,1,Lightning,2448804.5,183.0,2200.0,10.0,C,65.6995,-150.1192,6,OTHER FEDERAL,AK,,,,6
210383,210384,FBK NW 74,1992,1992-06-29,181,2018.0,1,Lightning,2448803.5,182.0,2200.0,0.2,A,65.6829,-150.0526,6,OTHER FEDERAL,AK,,,,6
210384,210385,FAI NW 77,1992,1992-06-29,181,2018.0,1,Lightning,2448809.5,188.0,1300.0,0.2,A,65.7995,-149.7859,1,BLM,AK,,,,6
210385,210386,CEM NW 32,1992,1992-06-29,181,2105.0,1,Lightning,2448807.5,186.0,1532.0,0.1,A,65.733,-146.0692,1,BLM,AK,,,,6
210386,210387,CEM W 32,1992,1992-06-29,181,2105.0,1,Lightning,2448807.5,186.0,1600.0,0.1,A,65.6663,-146.0358,1,BLM,AK,,,,6
210387,210388,CEM SW 50,1992,1992-06-29,181,2121.0,1,Lightning,2448827.5,206.0,1240.0,2840.0,F,65.3996,-146.6858,1,BLM,AK,,,,6
210388,210389,CEM W 52,1992,1992-06-29,181,2123.0,1,Lightning,2448807.5,186.0,1708.0,0.1,A,65.4163,-146.6525,1,BLM,AK,,,,6
210389,210390,CEM W 47,1992,1992-06-29,181,2133.0,1,Lightning,2448808.5,187.0,1720.0,8.0,B,65.4163,-146.6525,1,BLM,AK,,,,6
210390,210391,232316,1992,1992-06-29,181,2145.0,1,Lightning,2448807.5,186.0,1701.0,0.1,A,65.3829,-147.9192,7,STATE,AK,,,,6
210391,210392,BTT SE 65,1992,1992-06-29,181,2150.0,1,Lightning,2448803.5,182.0,300.0,0.5,B,66.0162,-149.9193,1,BLM,AK,,,,6
