MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20160531,TX,98.62,1.38,0.00,0.00,0.00,0.00,2016-05-31,2016-06-06,2
20160524,TX,97.30,2.70,0.00,0.00,0.00,0.00,2016-05-24,2016-05-30,2
20160517,TX,97.40,2.51,0.09,0.00,0.00,0.00,2016-05-17,2016-05-23,2
20160510,TX,90.05,9.21,0.73,0.00,0.00,0.00,2016-05-10,2016-05-16,2
20160503,TX,89.33,9.59,1.08,0.00,0.00,0.00,2016-05-03,2016-05-09,2
20160426,TX,86.91,10.81,2.01,0.27,0.00,0.00,2016-04-26,2016-05-02,2
20160419,TX,80.58,14.83,4.24,0.35,0.00,0.00,2016-04-19,2016-04-25,2
20160412,TX,74.56,21.38,4.06,0.00,0.00,0.00,2016-04-12,2016-04-18,2
20160405,TX,74.03,22.03,3.94,0.00,0.00,0.00,2016-04-05,2016-04-11,2
20160329,TX,75.15,21.88,2.96,0.00,0.00,0.00,2016-03-29,2016-04-04,2
20160322,TX,85.64,13.67,0.68,0.00,0.00,0.00,2016-03-22,2016-03-28,2
20160315,TX,88.58,11.30,0.12,0.00,0.00,0.00,2016-03-15,2016-03-21,2
20160308,TX,69.32,29.21,1.47,0.00,0.00,0.00,2016-03-08,2016-03-14,2
20160301,TX,75.35,23.56,1.09,0.00,0.00,0.00,2016-03-01,2016-03-07,2
20160223,TX,77.62,21.59,0.79,0.00,0.00,0.00,2016-02-23,2016-02-29,2
20160216,TX,55.16,41.26,3.57,0.00,0.00,0.00,2016-02-16,2016-02-22,2
20160209,TX,88.01,11.99,0.00,0.00,0.00,0.00,2016-02-09,2016-02-15,2
20160202,TX,97.66,2.34,0.00,0.00,0.00,0.00,2016-02-02,2016-02-08,2
20160126,TX,98.05,1.95,0.00,0.00,0.00,0.00,2016-01-26,2016-02-01,2
20160119,TX,98.31,1.69,0.00,0.00,0.00,0.00,2016-01-19,2016-01-25,2
20160112,TX,98.31,1.69,0.00,0.00,0.00,0.00,2016-01-12,2016-01-18,2
20160105,TX,98.31,1.69,0.00,0.00,0.00,0.00,2016-01-05,2016-01-11,2
20151229,TX,95.48,4.52,0.00,0.00,0.00,0.00,2015-12-29,2016-01-04,2
20151222,TX,96.07,3.93,0.00,0.00,0.00,0.00,2015-12-22,2015-12-28,2
20151215,TX,96.82,3.18,0.00,0.00,0.00,0.00,2015-12-15,2015-12-21,2
20151208,TX,97.17,2.83,0.00,0.00,0.00,0.00,2015-12-08,2015-12-14,2
20151201,TX,96.38,3.62,0.00,0.00,0.00,0.00,2015-12-01,2015-12-07,2
20151124,TX,92.65,6.74,0.61,0.00,0.00,0.00,2015-11-24,2015-11-30,2
20151117,TX,90.41,8.98,0.61,0.00,0.00,0.00,2015-11-17,2015-11-23,2
20151110,TX,90.15,9.24,0.61,0.00,0.00,0.00,2015-11-10,2015-11-16,2
20151103,TX,78.47,17.25,4.28,0.00,0.00,0.00,2015-11-03,2015-11-09,2
20151027,TX,56.34,28.00,12.82,2.85,0.00,0.00,2015-10-27,2015-11-02,2
20151020,TX,34.75,14.97,8.40,20.48,15.87,5.52,2015-10-20,2015-10-26,2
20151013,TX,36.47,16.50,15.14,18.00,12.47,1.42,2015-10-13,2015-10-19,2
20151006,TX,29.69,21.87,23.77,14.49,10.17,0.00,2015-10-06,2015-10-12,2
20150929,TX,34.51,27.17,20.77,11.29,6.27,0.00,2015-09-29,2015-10-05,2
20150922,TX,40.26,29.33,16.36,9.33,4.72,0.00,2015-09-22,2015-09-28,2
20150915,TX,48.76,24.52,16.26,6.54,3.92,0.00,2015-09-15,2015-09-21,2
20150908,TX,52.56,20.30,13.91,10.73,2.50,0.00,2015-09-08,2015-09-14,2
20150901,TX,58.06,17.18,14.77,8.67,1.32,0.00,2015-09-01,2015-09-07,2
20150825,TX,59.34,17.13,17.15,6.37,0.00,0.00,2015-08-25,2015-08-31,2
20150818,TX,57.67,17.05,16.91,8.37,0.00,0.00,2015-08-18,2015-08-24,2
20150811,TX,60.87,20.65,14.21,4.27,0.00,0.00,2015-08-11,2015-08-17,2
20150804,TX,72.34,23.06,4.42,0.18,0.00,0.00,2015-08-04,2015-08-10,2
20150728,TX,86.45,12.90,0.65,0.00,0.00,0.00,2015-07-28,2015-08-03,2
20150721,TX,95.82,4.18,0.00,0.00,0.00,0.00,2015-07-21,2015-07-27,2
20150714,TX,97.16,2.84,0.00,0.00,0.00,0.00,2015-07-14,2015-07-20,2
20150707,TX,95.37,4.38,0.25,0.00,0.00,0.00,2015-07-07,2015-07-13,2
20150630,TX,95.37,4.38,0.25,0.00,0.00,0.00,2015-06-30,2015-07-06,2
20150623,TX,95.37,4.38,0.25,0.00,0.00,0.00,2015-06-23,2015-06-29,2
20150616,TX,93.19,6.52,0.29,0.00,0.00,0.00,2015-06-16,2015-06-22,2
20150609,TX,92.07,7.40,0.53,0.00,0.00,0.00,2015-06-09,2015-06-15,2
20150602,TX,90.82,8.55,0.64,0.00,0.00,0.00,2015-06-02,2015-06-08,2
20150526,TX,82.11,12.50,5.40,0.00,0.00,0.00,2015-05-26,2015-06-01,2
20150519,TX,70.11,14.52,12.08,3.29,0.00,0.00,2015-05-19,2015-05-25,2
20150512,TX,64.42,12.83,15.06,5.76,1.93,0.00,2015-05-12,2015-05-18,2
20150505,TX,59.67,10.78,14.04,10.03,3.62,1.86,2015-05-05,2015-05-11,2
20150428,TX,58.89,10.40,14.88,10.26,3.55,2.02,2015-04-28,2015-05-04,2
20150421,TX,55.48,9.96,12.63,12.59,6.80,2.55,2015-04-21,2015-04-27,2
20150414,TX,52.88,11.87,10.60,9.74,11.57,3.34,2015-04-14,2015-04-20,2
20150407,TX,51.15,12.48,10.98,9.94,11.58,3.87,2015-04-07,2015-04-13,2
20150331,TX,50.74,12.65,11.18,10.34,11.79,3.32,2015-03-31,2015-04-06,2
20150324,TX,49.50,14.14,11.44,11.25,10.35,3.32,2015-03-24,2015-03-30,2
20150317,TX,43.46,16.61,12.82,12.63,11.51,2.97,2015-03-17,2015-03-23,2
20150310,TX,42.15,16.80,15.16,13.14,9.78,2.97,2015-03-10,2015-03-16,2
20150303,TX,38.77,18.21,16.13,13.60,9.92,3.37,2015-03-03,2015-03-09,2
20150224,TX,38.35,18.26,15.53,13.52,9.88,4.46,2015-02-24,2015-03-02,2
20150217,TX,39.21,17.40,15.58,13.89,9.46,4.46,2015-02-17,2015-02-23,2
20150210,TX,43.29,17.51,14.49,11.50,8.75,4.46,2015-02-10,2015-02-16,2
20150203,TX,43.52,17.91,15.81,11.52,8.43,2.82,2015-02-03,2015-02-09,2
20150127,TX,41.41,19.36,15.29,12.69,8.19,3.06,2015-01-27,2015-02-02,2
20150120,TX,39.79,19.56,15.90,13.40,8.29,3.06,2015-01-20,2015-01-26,2
20150113,TX,39.79,19.87,16.85,12.46,8.13,2.90,2015-01-13,2015-01-19,2
20150106,TX,38.95,19.24,17.75,13.35,8.25,2.48,2015-01-06,2015-01-12,2
20141230,TX,34.37,20.95,18.95,14.03,8.53,3.17,2014-12-30,2015-01-05,2
20141223,TX,34.31,22.26,20.07,12.99,7.39,2.97,2014-12-23,2014-12-29,2
20141216,TX,33.17,22.92,20.50,13.36,7.48,2.57,2014-12-16,2014-12-22,2
20141209,TX,33.63,22.98,20.07,13.27,7.48,2.57,2014-12-09,2014-12-15,2
20141202,TX,34.05,22.66,21.24,12.55,6.93,2.57,2014-12-02,2014-12-08,2
20141125,TX,34.11,23.32,20.52,12.55,6.93,2.57,2014-11-25,2014-12-01,2
20141118,TX,31.21,24.88,20.02,14.06,6.37,3.45,2014-11-18,2014-11-24,2
20141111,TX,30.29,25.80,20.02,14.06,6.37,3.45,2014-11-11,2014-11-17,2
20141104,TX,26.33,25.19,20.09,17.58,7.18,3.62,2014-11-04,2014-11-10,2
20141028,TX,24.84,25.96,21.34,15.96,8.27,3.62,2014-10-28,2014-11-03,2
